pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	A	A	4.5	NEUTRAL
2	A	A	3.2	NEUTRAL
3	The	The	4.7	ENTAILMENT
5	The	A	3.4	NEUTRAL
9	The	A	3.7	NEUTRAL
12	Two	Two	4	NEUTRAL
14	A	Two	3.5	NEUTRAL
18	A	Two	3.2	NEUTRAL
25	Nobody	A	2.8	NEUTRAL
26	A	A	3.7	NEUTRAL
28	A	A	3.4	NEUTRAL
30	A	The	4.9	ENTAILMENT
35	A	A	3.6	NEUTRAL
40	The	A	3.8	NEUTRAL
42	Two	Two	3.4	CONTRADICTION
44	Two	Two	4.9	ENTAILMENT
45	Two	Two	3.9	NEUTRAL
47	Two	Two	3.415	NEUTRAL
49	Two	Two	3.7	NEUTRAL
55	Three	Three	4.4	ENTAILMENT
56	Three	Three	3.8	NEUTRAL
58	Children	Three	3.5	NEUTRAL
62	Children	Three	4	NEUTRAL
65	Two	Two	2.9	NEUTRAL
70	Two	Two	4.1	NEUTRAL
72	Two	Two	2.5	NEUTRAL
73	Two	Two	4.2	NEUTRAL
77	People	Masked	4.4	ENTAILMENT
78	People	People	3.2	NEUTRAL
79	People	People	3.635	NEUTRAL
81	A	People	2.4	NEUTRAL
82	A	People	2.6	NEUTRAL
83	A	People	2.2	NEUTRAL
84	People	The	3	NEUTRAL
85	People	A	2	NEUTRAL
87	A	A	5	ENTAILMENT
88	There	A	4.2	CONTRADICTION
90	A	A	3	CONTRADICTION
91	A	The	3.1	NEUTRAL
93	A	A	1.7	NEUTRAL
94	The	A	1.4	NEUTRAL
97	A	A	1.5	NEUTRAL
98	Four	Four	4.8	ENTAILMENT
99	Four	Four	3.8	NEUTRAL
100	Four	Four	4.1	ENTAILMENT
107	A	A	4.3	ENTAILMENT
112	Two	A	2.1	NEUTRAL
113	Two	A	3	NEUTRAL
117	A	Two	2.6	NEUTRAL
120	Five	Five	3.2	NEUTRAL
122	Five	Five	3.7	CONTRADICTION
124	Five	Five	2.6	NEUTRAL
126	Five	Five	2.7	NEUTRAL
127	Five	Five	2.3	NEUTRAL
129	An	A	4.4	ENTAILMENT
130	A	A	2.6	NEUTRAL
131	A	A	4.1	NEUTRAL
133	A	A	3.4	NEUTRAL
136	A	A	3.3	NEUTRAL
139	A	A	3.8	NEUTRAL
140	The	A	4.9	ENTAILMENT
141	A	A	3.7	CONTRADICTION
146	The	This	3.2	NEUTRAL
148	A	This	3.1	NEUTRAL
150	A	A	3.9	CONTRADICTION
159	People	People	3.4	NEUTRAL
161	Several	Nobody	3.5	CONTRADICTION
163	People	Nobody	3.6	NEUTRAL
164	People	Several	3.6	ENTAILMENT
170	A	A	3.9	NEUTRAL
173	A	A	3.015	NEUTRAL
176	A	A	2.7	NEUTRAL
183	A	Various	3.3	NEUTRAL
184	A	Various	2.9	NEUTRAL
186	A	A	3.1	NEUTRAL
188	Various	A	3.2	NEUTRAL
192	A	No	3.8	CONTRADICTION
194	Nobody	Someone	3.7	CONTRADICTION
200	A	A	4.6	ENTAILMENT
201	There	A	3.7	CONTRADICTION
202	A	A	4.8	ENTAILMENT
205	A	A	3.3	NEUTRAL
215	Two	A	3.7	NEUTRAL
216	Two	There	2.7	NEUTRAL
217	Two	A	3	NEUTRAL
223	A	The	4	NEUTRAL
224	A	The	3.3	NEUTRAL
226	A	The	3.5	NEUTRAL
227	The	There	3.3	NEUTRAL
232	Three	Three	3.9	CONTRADICTION
233	Three	An	3.7	NEUTRAL
234	The	Three	1.9	NEUTRAL
237	The	Three	2.3	NEUTRAL
238	There	Three	1.6	NEUTRAL
240	A	A	4.3	ENTAILMENT
241	A	A	4	NEUTRAL
248	The	A	3.6	NEUTRAL
249	A	The	2.5	NEUTRAL
254	A	There	3.2	CONTRADICTION
256	There	A	4.3	CONTRADICTION
257	A	A	2.5	NEUTRAL
258	A	There	2.5	NEUTRAL
259	A	A	2.9	NEUTRAL
260	There	A	2.4	NEUTRAL
265	The	The	4.8	ENTAILMENT
266	The	The	3.6	CONTRADICTION
269	A	The	3.2	NEUTRAL
272	A	The	3.8	NEUTRAL
273	A	A	4.1	ENTAILMENT
276	The	The	3.2	CONTRADICTION
277	A	The	3	NEUTRAL
279	The	A	3.3	NEUTRAL
283	A	There	3.6	CONTRADICTION
286	A	A	3	NEUTRAL
287	A	A	3.8	NEUTRAL
289	There	A	3.4	NEUTRAL
291	Several	Several	4	NEUTRAL
293	Two	Two	4.4	ENTAILMENT
296	Two	Several	2.8	NEUTRAL
301	A	There	2.9	CONTRADICTION
302	A	A	3.1	NEUTRAL
303	A	A	4.4	ENTAILMENT
305	A	A	3.8	ENTAILMENT
309	A	A	3	NEUTRAL
310	A	A	4.2	NEUTRAL
311	A	A	4.3	ENTAILMENT
312	A	A	3.8	CONTRADICTION
313	A	A	4.5	ENTAILMENT
315	A	A	3.3	NEUTRAL
323	A	A	3.9	NEUTRAL
327	A	There	1.5	NEUTRAL
329	A	A	1.3	NEUTRAL
331	A	A	4	ENTAILMENT
332	A	A	2.6	NEUTRAL
333	A	Four	4.5	ENTAILMENT
335	A	Four	4.6	NEUTRAL
338	A	A	1.4	NEUTRAL
339	A	A	4.3	ENTAILMENT
340	A	A	4.7	ENTAILMENT
341	There	A	3.7	CONTRADICTION
342	A	A	2.7	NEUTRAL
344	An	An	3.8	NEUTRAL
346	A	An	2.5	NEUTRAL
347	A	An	2.8	NEUTRAL
351	A	A	4.6	ENTAILMENT
354	Two	Two	4.3	ENTAILMENT
358	A	Two	3.9	NEUTRAL
360	Two	A	3.2	NEUTRAL
361	A	Two	4	ENTAILMENT
362	A	A	4.5	ENTAILMENT
363	A	A	3.4	CONTRADICTION
366	A	A	4.1	NEUTRAL
367	A	A	3.2	NEUTRAL
370	A	A	4.3	NEUTRAL
372	A	There	3.8	CONTRADICTION
373	A	A	4.4	ENTAILMENT
374	A	A	2.9	NEUTRAL
375	A	A	2.6	NEUTRAL
377	A	A	2.1	NEUTRAL
378	A	A	2	NEUTRAL
379	A	A	2.5	NEUTRAL
380	A	There	1.6	NEUTRAL
381	A	A	2.4	NEUTRAL
387	A	A	3.8	NEUTRAL
390	A	A	4.6	ENTAILMENT
391	A	A	4.8	ENTAILMENT
392	There	A	4.1	CONTRADICTION
393	A	A	3.7	NEUTRAL
395	A	There	4.2	CONTRADICTION
396	A	A	2.6	NEUTRAL
397	There	A	2.7	NEUTRAL
398	A	A	3.1	NEUTRAL
403	A	A	3.5	NEUTRAL
404	Some	People	4.7	ENTAILMENT
409	Some	A	1.5	NEUTRAL
410	A	Some	3.2	ENTAILMENT
413	Two	Two	3	NEUTRAL
415	Two	Two	3.5	NEUTRAL
422	Two	Two	4.3	ENTAILMENT
423	Two	Two	3.2	CONTRADICTION
427	Two	Two	4.3	NEUTRAL
428	There	Two	3.2	NEUTRAL
434	The	The	4.2	NEUTRAL
435	A	A	4.3	NEUTRAL
436	A	A	2.4	NEUTRAL
438	The	A	1.9	NEUTRAL
439	The	A	2.9	NEUTRAL
440	The	A	3.7	NEUTRAL
441	A	The	3.3	NEUTRAL
442	A	A	4.7	ENTAILMENT
446	A	A	3.5	NEUTRAL
447	A	A	4	NEUTRAL
449	A	A	3.6	NEUTRAL
451	A	A	2.3	NEUTRAL
454	Two	Two	3.6	CONTRADICTION
457	Two	Two	3	NEUTRAL
461	Two	Two	2.7	NEUTRAL
462	A	A	3.5	NEUTRAL
465	A	A	4.7	ENTAILMENT
470	There	A	3.4	NEUTRAL
473	A	A	4.5	ENTAILMENT
475	A	A	4	NEUTRAL
476	There	A	4	CONTRADICTION
477	A	A	3.9	ENTAILMENT
484	Two	Two	4.2	NEUTRAL
485	Two	Two	3.3	NEUTRAL
486	Two	Two	3.8	NEUTRAL
489	There	Two	3	CONTRADICTION
491	The	The	4.9	ENTAILMENT
494	A	A	4.8	ENTAILMENT
496	The	A	3	NEUTRAL
497	The	A	2.9	NEUTRAL
499	The	A	2.7	NEUTRAL
500	A	A	2.5	NEUTRAL
505	A	A	4.7	ENTAILMENT
506	A	There	3.7	CONTRADICTION
507	A	A	3.6	NEUTRAL
508	A	A	3.5	NEUTRAL
513	A	A	2.4	NEUTRAL
514	A	A	3.9	NEUTRAL
515	A	A	4.3	ENTAILMENT
516	A	A	3.7	NEUTRAL
522	A	The	2.6	NEUTRAL
524	A	The	3.7	NEUTRAL
527	A	The	2.5	NEUTRAL
528	A	A	4.7	ENTAILMENT
529	A	A	3.315	CONTRADICTION
531	A	One	4.8	ENTAILMENT
535	A	There	2.7	NEUTRAL
538	One	A	2.6	NEUTRAL
541	The	The	4.9	ENTAILMENT
542	The	There	3.5	CONTRADICTION
545	A	A	3.1	NEUTRAL
548	A	The	2.5	NEUTRAL
550	The	A	3.1	NEUTRAL
551	There	A	1.9	NEUTRAL
552	A	A	2.5	NEUTRAL
555	A	There	3.4	CONTRADICTION
556	A	A	2.5	NEUTRAL
557	A	A	4.9	ENTAILMENT
560	A	A	4	NEUTRAL
561	A	A	3.6	NEUTRAL
564	There	A	3.1	NEUTRAL
565	A	A	2	NEUTRAL
568	A	A	4.1	NEUTRAL
570	A	A	4.5	ENTAILMENT
581	A	A	3.5	NEUTRAL
586	The	A	3.4	NEUTRAL
587	A	The	3.4	ENTAILMENT
588	The	A	3.4	NEUTRAL
597	A	A	2.8	NEUTRAL
599	A	A	3.4	NEUTRAL
601	A	A	3.8	NEUTRAL
603	A	A	5	ENTAILMENT
604	A	There	3.7	CONTRADICTION
605	A	A	3.3	NEUTRAL
606	A	A	3.1	NEUTRAL
609	A	The	2.4	NEUTRAL
611	The	A	2.3	NEUTRAL
617	A	A	3.4	NEUTRAL
621	A	A	2.2	NEUTRAL
622	A	A	4.1	NEUTRAL
625	A	A	3.9	NEUTRAL
626	A	A	4.8	ENTAILMENT
628	A	A	3.2	NEUTRAL
629	The	One	4.8	ENTAILMENT
631	The	A	2.2	NEUTRAL
632	One	A	3.9	NEUTRAL
634	A	A	1.6	NEUTRAL
637	A	The	2.515	NEUTRAL
638	A	The	3.8	NEUTRAL
641	A	One	3.1	NEUTRAL
643	A	A	3.9	NEUTRAL
645	A	One	4.3	ENTAILMENT
646	One	A	3.4	NEUTRAL
648	A	One	4.1	ENTAILMENT
649	A	One	2.8	NEUTRAL
650	A	A	2.685	NEUTRAL
653	A	The	4.1	CONTRADICTION
655	A	A	4.7	ENTAILMENT
657	A	A	3.2	NEUTRAL
660	A	The	3.4	NEUTRAL
661	One	A	4.3	NEUTRAL
663	A	A	2.9	NEUTRAL
668	The	The	3.8	CONTRADICTION
671	One	The	2.9	NEUTRAL
672	One	The	3	NEUTRAL
676	A	A	4.9	ENTAILMENT
678	A	One	3.1	NEUTRAL
679	Two	Two	4.6	ENTAILMENT
680	Two	There	3.9	CONTRADICTION
685	A	Two	4.1	NEUTRAL
690	A	A	3.4	NEUTRAL
691	A	A	3.2	NEUTRAL
692	A	A	5	ENTAILMENT
693	A	There	3.7	CONTRADICTION
696	A	There	3.2	NEUTRAL
